Title,Price,Rating,Image
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/1Yr Warranty + 1 Yr ADP/Grey/1.6Kg), 82R400BGIN","₹35,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71bDJ9wxxWL._AC_UY218_.jpg
"Acer Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","₹32,999",N/A,https://m.media-amazon.com/images/I/51KL3aOZ0tL._AC_UY218_.jpg
"HP Laptop 15, 13th Gen Intel Core i5-1335U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, FHD Camera w/Privacy Shutter (Win 11, MSO 2021, Silver, 1.59 kg), fd0011TU","₹53,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/7189fYICakL._AC_UY218_.jpg
"Dell 14 Laptop, 13th Gen Intel Core i3-1305U Processor/ 8GB/ 512GB SSD/14.0"" (35.56cm) FHD + Comfort view/Windows 11 + MSO'21/15 Month McAfee/Spill-resistant Keyboard/Carbon Black/Thin & Light- 1.46kg","₹37,790",3.9 out of 5 stars,https://m.media-amazon.com/images/I/613CYlfdctL._AC_UY218_.jpg
"HP Laptop 15, 13th Gen Intel Core i5-1335U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 1TB SSD, Intel Iris Xe Graphics, FPR, FHD Camera w/Privacy Shutter (Win 11, MSO 2021, Silver, 1.59 kg), fd0012TU","₹57,790",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71RofaWLmmL._AC_UY218_.jpg
"ASUS Vivobook 15, Intel Core i3-1220P 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Alexa Built-in/FP Sensor/Blue/1.7 kg), X1502ZA-EJ381WS","₹36,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71c0GSxtEEL._AC_UY218_.jpg
"Lenovo IdeaPad Slim 3 Intel Core i7 11th Gen 15.6"" (39.62cm) FHD Laptop (16GB/512GB SSD/Win 11/Office 2021/2 Years Warranty/Arctic Grey/1.65Kg), 82H803B6IN","₹52,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51D0u37wUuL._AC_UY218_.jpg
"HP Pavilion 15, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 1TB SSD, AMD Radeon Graphics, FPR, 720p HD Camera, Backlit KB, Audio by B&O (Win 11, MSO 2021, Silver, 1.75 kg), eh1147AU","₹60,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71q7Q6Bb9ZL._AC_UY218_.jpg
"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 6800H 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (16GB/512GB SSD/Win11/Office/NVIDIA RTX 3050 4GB/RGB Keyboard/Alexa/3 Month Game Pass/Onyx Grey/2.32Kg),82SB00Y8IN","₹59,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/81u-5gRjEXL._AC_UY218_.jpg
"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 14‑core CPU and 30‑core GPU, 36GB Unified Memory, 1TB) - Space Black","₹3,19,990",3.2 out of 5 stars,https://m.media-amazon.com/images/I/618d5bS2lUL._AC_UY218_.jpg
"ZEBRONICS Laptop PRO Series Y NBC 2S, Intel Core 11th Gen i5 Processor (16GB RAM | 512GB SSD), 15.6-Inch (39.6 CM) IPS Display, (Ultra Slim | 38.5 Wh Large Battery | Windows 11 | Sage Green | 1.65 Kg)","₹25,990",3.5 out of 5 stars,https://m.media-amazon.com/images/I/713u+ON+iiL._AC_UY218_.jpg
"ASUS Vivobook 15, 15-inch (39.62 cms) FHD, AMD Ryzen 7 5800HS, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Cool Silver/1.7 kg), M1502QA-EJ742WS","₹52,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/51y8m8Z44DL._AC_UY218_.jpg
